id,title,is_premium,difficulty,acceptance_rate,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,topics_list,topic_count,companies_list,company_count,difficulty_score,estimated_time,problem_value,title_lower
875,Koko Eating Bananas,0,Medium,53.5,66.3K,123.9K,Facebook,Binary Search,1387,85,94,1,['Binary Search'],1,['Facebook'],1,2,20,55.08735868,koko eating bananas
901,Online Stock Span,0,Medium,61.5,88.3K,143.6K,Amazon,Stack,1397,160,90,1,['Stack'],1,['Amazon'],1,2,20,63.30935252,online stock span
933,Number of Recent Calls,0,Easy,72.4,99.5K,137.3K,Yandex,Queue,561,2147,21,0,['Queue'],1,['Yandex'],1,1,10,53.95683453,number of recent calls
994,Rotting Oranges,0,Medium,49.6,205.5K,413.9K,"Amazon,Google,Microsoft,Bloomberg,Oracle,Walmart Labs",Breadth-first Search,3211,215,94,1,['Breadth-first Search'],1,"['Amazon', 'Google', 'Microsoft', 'Bloomberg', 'Oracle']",6,2,20,51.07913669,rotting oranges
1004,Max Consecutive Ones III,0,Medium,60.8,96.6K,158.9K,"Facebook,Coupang,HBO","Two Pointers,Sliding Window",2020,31,98,1,"['Two Pointers', 'Sliding Window']",2,['Facebook'],3,2,20,65.67317575,max consecutive ones iii
1071,Greatest Common Divisor of Strings,0,Easy,51.8,46.3K,89.3K,"Amazon,Atlassian,Visa",String,770,180,81,1,['String'],1,['Amazon'],3,1,10,53.34018499,greatest common divisor of strings
1137,N-th Tribonacci Number,0,Easy,56.1,71.7K,127.8K,Facebook,Recursion,515,53,91,1,['Recursion'],1,['Facebook'],1,1,10,57.75950668,n-th tribonacci number
1143,Longest Common Subsequence,0,Medium,58.7,191.7K,326.6K,"Amazon,Microsoft,eBay",Dynamic Programming,2799,36,99,1,['Dynamic Programming'],1,"['Amazon', 'Microsoft', 'eBay']",3,2,20,60.43165468,longest common subsequence
1161,Maximum Level Sum of a Binary Tree,0,Medium,69,65.9K,95.5K,"Amazon,Facebook","Tree,Breadth-first Search",741,40,95,1,"['Tree', 'Breadth-first Search']",2,"['Amazon', 'Facebook']",2,2,20,74.10071942,maximum level sum of a binary tree
1207,Unique Number of Occurrences,0,Easy,71.9,79.9K,111.1K,Apple,Hash Table,662,25,96,1,['Hash Table'],1,['Apple'],1,1,10,73.9979445,unique number of occurrences
1268,Search Suggestions System,0,Medium,64.7,73.7K,113.8K,"Amazon,Bloomberg",String,968,90,91,1,['String'],1,"['Amazon', 'Bloomberg']",2,2,20,66.59815005,search suggestions system
1318,Minimum Flips to Make a OR b Equal to c,0,Medium,63.9,16.5K,25.9K,Microsoft,Bit Manipulation,233,24,91,0,['Bit Manipulation'],1,['Microsoft'],1,2,20,45.22096608,minimum flips to make a or b equal to c
1372,Longest ZigZag Path in a Binary Tree,0,Medium,55,18.6K,33.7K,Sumerge,"Dynamic Programming,Tree",541,11,98,0,"['Dynamic Programming', 'Tree']",2,[],1,2,20,39.15724563,longest zigzag path in a binary tree
1431,Kids With the Greatest Number of Candies,0,Easy,88.2,199.1K,225.8K,Adobe,Array,732,172,81,0,['Array'],1,['Adobe'],1,1,10,70.19527235,kids with the greatest number of candies
1448,Count Good Nodes in Binary Tree,0,Medium,71.3,39.2K,55K,"Microsoft,Amazon","Tree,Depth-first Search",639,32,95,1,"['Tree', 'Depth-first Search']",2,"['Microsoft', 'Amazon']",2,2,20,76.46454265,count good nodes in binary tree
1456,Maximum Number of Vowels in a Substring of Given Length,0,Medium,54.9,28.2K,51.4K,Amazon,"String,Sliding Window",386,25,94,1,"['String', 'Sliding Window']",2,['Amazon'],1,2,20,59.60945529,maximum number of vowels in a substring of given length
1466,Reorder Routes to Make All Paths Lead to the City Zero,0,Medium,62,28.3K,45.6K,Microsoft,"Tree,Depth-first Search",621,16,97,0,"['Tree', 'Depth-first Search']",2,['Microsoft'],1,2,20,46.35149024,reorder routes to make all paths lead to the city zero
1493,Longest Subarray of 1's After Deleting One Element,0,Medium,57.7,19.2K,33.3K,Yandex,Array,371,7,98,0,['Array'],1,['Yandex'],1,2,20,38.84892086,longest subarray of 1's after deleting one element
1657,Determine if Two Strings Are Close,0,Medium,55.3,31.7K,57.3K,Postmates,Greedy,416,27,94,0,['Greedy'],1,[],1,2,20,36.38232271,determine if two strings are close
1679,Max Number of K-Sum Pairs,0,Medium,53.9,36.4K,67.7K,DE Shaw,Hash Table,400,17,96,0,['Hash Table'],1,[],1,2,20,34.94347379,max number of k-sum pairs
1732,Find the Highest Altitude,0,Easy,79.9,27.2K,34.1K,,,228,25,90,0,[],0,[],0,1,10,58.58170606,find the highest altitude
1768,Merge Strings Alternately,0,Easy,75.8,20.4K,26.9K,Uber,String,149,3,98,0,['String'],1,['Uber'],1,1,10,57.45118191,merge strings alternately
136,Single Number,0,Easy,66.7,1.1M,1.7M,"Google,Amazon,Facebook,Microsoft","Hash Table,Bit Manipulation",6010,197,97,1,"['Hash Table', 'Bit Manipulation']",2,"['Google', 'Amazon', 'Facebook', 'Microsoft']",4,1,10,71.7368962,
238,Product of Array Except Self,0,Medium,61.4,742.5K,1.2M,"Facebook,Amazon,Apple,Asana,Lyft,Microsoft,Uber,Adobe,VMware,Nvidia,Oracle,Intel",Array,7122,545,93,1,['Array'],1,"['Facebook', 'Amazon', 'Apple', 'Microsoft', 'Uber', 'Adobe', 'VMware', 'Oracle']",12,2,20,63.2065776,
394,Decode String,0,Medium,53,316.5K,597.7K,"Bloomberg,Google,Amazon,Oracle,ByteDance,Apple,Walmart Labs,VMware,eBay,Cisco","Stack,Depth-first Search",4841,229,95,1,"['Stack', 'Depth-first Search']",2,"['Bloomberg', 'Google', 'Amazon', 'Oracle', 'ByteDance', 'Apple', 'VMware', 'eBay', 'Cisco']",10,2,20,57.65673176,
328,Odd Even Linked List,0,Medium,57.2,364K,635.9K,"Bloomberg,Oracle,Facebook,Google",Linked List,2966,337,90,1,['Linked List'],1,"['Bloomberg', 'Oracle', 'Facebook', 'Google']",4,2,20,58.89003083,
206,Reverse Linked List,0,Easy,65.7,1.4M,2.1M,"Adobe,Amazon,Facebook,Apple,Microsoft,Qualcomm,Yandex,Google,Uber,Oracle,Bloomberg,IBM,Cisco,Goldman Sachs,ByteDance",Linked List,6702,129,98,1,['Linked List'],1,"['Adobe', 'Amazon', 'Facebook', 'Apple', 'Microsoft', 'Yandex', 'Google', 'Uber', 'Oracle', 'Bloomberg', 'Cisco', 'Goldman Sachs', 'ByteDance']",15,1,10,67.62589928,
994,Rotting Oranges,0,Medium,49.6,205.5K,413.9K,"Amazon,Google,Microsoft,Bloomberg,Oracle,Walmart Labs",Breadth-first Search,3211,215,94,1,['Breadth-first Search'],1,"['Amazon', 'Google', 'Microsoft', 'Bloomberg', 'Oracle']",6,2,20,51.07913669,
208,Implement Trie (Prefix Tree),0,Medium,52.5,405.1K,770.9K,"Amazon,Pinterest,Google,Microsoft,Oracle,Facebook,Apple,Goldman Sachs,Qualtrics","Design,Trie",4393,70,98,1,"['Design', 'Trie']",2,"['Amazon', 'Google', 'Microsoft', 'Oracle', 'Facebook', 'Apple', 'Goldman Sachs', 'Qualtrics']",9,2,20,57.14285714,
435,Non-overlapping Intervals,0,Medium,43.8,135.7K,309.5K,"Facebook,ByteDance,Amazon",Greedy,1974,55,97,1,['Greedy'],1,"['Facebook', 'ByteDance', 'Amazon']",3,2,20,45.11819116,
215,Kth Largest Element in an Array,0,Medium,58.9,869.2K,1.5M,"Facebook,Amazon,Walmart Labs,Apple,Microsoft,Bloomberg,ByteDance,LinkedIn,Adobe,Google,Spotify,Zillow","Divide and Conquer,Heap",5413,351,94,1,"['Divide and Conquer', 'Heap']",2,"['Facebook', 'Amazon', 'Apple', 'Microsoft', 'Bloomberg', 'ByteDance', 'LinkedIn', 'Adobe', 'Google']",12,2,20,63.72045221,
162,Find Peak Element,0,Medium,44.1,476.9K,1.1M,"Facebook,Amazon,Google,Bloomberg,Quora","Array,Binary Search",2711,2601,51,1,"['Array', 'Binary Search']",2,"['Facebook', 'Amazon', 'Google', 'Bloomberg']",5,2,20,48.50976362,
